dataset,ST,LS,FS,LRS
Adiac,0.7826086956999999,0.5217391304,0.59335,0.4398976998103549
ArrowHead,0.7371428570999999,0.8457142857,0.594286,0.7771428823471069
Beef,0.9,0.8666666667,0.566667,0.5666666626930237
BeetleFly,0.9,0.8,0.7,0.8000000119209291
BirdChicken,0.8,0.8,0.75,0.8000000119209291
CBF,0.9744444444,0.9911111110999999,0.94,0.9866666698455809
Car,0.9166666667,0.7666666667,0.75,0.8833333253860474
ChlorineConcentration,0.6997395833,0.5924479167,0.546354,0.5486979166666667
CinCECGtorso,0.9543478261,0.8695652173999999,0.8594200000000001,0.7905797116998313
Coffee,0.9642857143000001,1.0,0.9285709999999999,0.9285714030265808
Computers,0.736,0.584,0.5,0.6600000262260437
CricketX,0.7717948718000001,0.7410256409999999,0.48461499999999996,0.7769230775344066
CricketY,0.7794871795,0.7179487179,0.5307689999999999,0.7461538553237915
CricketZ,0.7871794872,0.7410256409999999,0.464103,0.7743589761929635
DiatomSizeReduction,0.9248366013,0.9803921568999999,0.8660129999999999,0.9607843137254902
DistalPhalanxOutlineAgeGroup,0.7697841727,0.7194244604000001,0.654676,0.6762589812278748
DistalPhalanxOutlineCorrect,0.7753623188,0.7789855072,0.75,0.7681159403013147
DistalPhalanxTW,0.6618705036,0.6258992806,0.625899,0.6690647602081299
ECG200,0.83,0.88,0.81,0.8999999761581421
ECG5000,0.9437777778,0.9322222222,0.922667,0.932222221268548
ECGFiveDays,0.9837398373999999,1.0,0.997677,0.9976771196283392
Earthquakes,0.7410071942,0.7410071942,0.705036,0.7338129281997681
ElectricDevices,0.7469848269,0.587472442,0.579043,0.6953702502222225
FaceAll,0.7786982249,0.7485207101000001,0.6260359999999999,0.7668639050961952
FaceFour,0.8522727273,0.9659090909,0.909091,0.943181812763214
FacesUCR,0.9058536585,0.9390243902,0.705854,0.9429268292682926
FiftyWords,0.7054945054999999,0.7296703297,0.48131899999999994,0.7670329721419366
Fish,0.9885714286,0.96,0.782857,0.954285740852356
FordA,0.9712121212,0.956818182,0.787121,0.9340909083684286
